project, run, sample, species, location, collection date, technology, 16S region
PRJNA310360, SRR3145937, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145936, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145934, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145932, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145931, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145924, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145923, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145918, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145917, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145916, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145913, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145912, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145910, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145909, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145908, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145907, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145906, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145905, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145903, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145901, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145898, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145897, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145896, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145895, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145892, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145890, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145886, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145885, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145884, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145882, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
